zh-CN	简体中文
BeachCove/MFL/COMP/BC_MFL_COMP_14_CS_ZP_03	不是太好
BeachCove/MFL/COMP/BC_MFL_COMP_15_CS_SN_04	魔法似乎突然消失了
BeachCove/MFL/COMP/BC_MFL_COMP_16_CS_Crowd1_01	天马就不应该来小马湾！
BeachCove/MFL/COMP/BC_MFL_COMP_17_CS_Crowd2_01	肯定是独角兽搞的鬼！他们很危险！
BeachCove/MFL/COMP/BC_MFL_COMP_18_CS_Sprout_03	一切都在计划之中……
BeachCove/MFL/COMP/BC_MFL_COMP_19_CS_HC_03	菜头？是你吗？
BeachCove/MFL/COMP/BC_MFL_COMP_20_CS_Sprout_04	不！不是我！
BeachCove/MFL/COMP/BC_MFL_COMP_21_CS_SN_05	我去追他！
BeachCove/MFL/COMP/BC_MFL_COMP_22_CS_Shimmerwing_01	
BeachCove/MFL/COMP/BC_MFL_COMP_23_GP_SN_06	他往小马街跑！
BeachCove/MFL/DECLINED/BC_MFL_DECLINED_01_CVS_SN_01	我还没准备好
BeachCove/MFL/DECLINED/BC_MFL_DECLINED_02_CVS_ZP_02	我也没有
BeachCove/MFL/QUESTION/BC_MFL_QUESTION_01_CVS_ZP_01	准备好了吗 希悦？
BeachCove/MFL/RETACPTD/BC_MFL_RETACPTD_01_CVS_SN_01	这次可别摔下去
BeachCove/MFL/RETDCLND/BC_MFL_RETDCLND_01_CVS_SN_01	算了……高处让我感觉害怕
BeachCove/MFL/RETRY/BC_MFL_RETRY_01_CVS_ZP_01	想再来翱翔天际吗？
BeachCove/MFL/START/BC_MFL_START_01_CVS_ZP_01	欢迎来到最后一场比赛……什么什么的
BeachCove/MFL/START/BC_MFL_START_02_CVS_ZP_02	反正你也比不过我
BeachCove/MFL/START/BC_MFL_START_03_CVS_ZP_03	但只要你不会掉到海里 就算你通过
BeachCove/Q13/ACCEPTED/BC_Q13_ACCEPTED_01_CVS_SN_01	我准备好了！
BeachCove/Q13/ACCEPTED/BC_Q13_ACCEPTED_02_CVS_Zoom_04	这就对了！
BeachCove/Q13/COMP/BC_Q13_COMP_01_CVS_Zoom_06	干得不错 学员！这是你的奖励
BeachCove/Q13/DECLINED/BC_Q13_DECLINED_01_CVS_SN_02	我还需要点时间……
BeachCove/Q13/DECLINED/BC_Q13_DECLINED_02_CVS_Zoom_05	别拖得太久！
BeachCove/Q13/POST_01/BC_Q13_POST_01_01_GP_Zoom_10	希望你飞得比上一位好些 他总是掉进海里
BeachCove/Q13/QUESTION/BC_Q13_QUESTION_01_CVS_Zoom_03	准备好接受速度挑战了吗？
BeachCove/Q13/RETACPTD/BC_Q13_RETACPTD_01_CVS_Zoom_08	准备开始吧！
BeachCove/Q13/RETDCLND/BC_Q13_RETDCLND_01_CVS_Zoom_09	想跑了可以随时回来
BeachCove/Q13/RETRY/BC_Q13_RETRY_01_CVS_Zoom_07	啊 你回来了 想来再试一遍吗？
BeachCove/Q13/START/BC_Q13_START_01_CVS_Zoom_01	看看谁来了！是学员希悦！
BeachCove/Q13/START/BC_Q13_START_02_CVS_Zoom_02	这是最后一场障碍赛课程，离起飞不远了
BeachCove/Q14/COMP/BC_Q14_COMP_01_GP_IZ_01	你做得很不错嘛！
BeachCove/Q14/COMP/BC_Q14_COMP_02_GP_SN_01	多亏了你的帮忙 朋友！
BeachCove/Q14/EV_01/BC_Q14_EV_01_01_GP_SN_01	嫌疑者是一位天马……可是翅膀掉了
BeachCove/Q14/EV_02/BC_Q14_EV_02_01_GP_SN_01	这次是粉色鬃毛
BeachCove/Q14/EV_03/BC_Q14_EV_03_01_GP_SN_01	那位小马有紫色的鬃毛
BeachCove/Q14/EV_04/BC_Q14_EV_04_01_CVS_Sprout_01	侦探做得不错！有没有符合的小马？
BeachCove/Q14/EV_04/BC_Q14_EV_04_02_CVS_SN_01	也许吧……但有目击者发现了假的翅膀
BeachCove/Q14/EV_04/BC_Q14_EV_04_03_CVS_Sprout_02	噢 我怎么……我是说嫌犯怎么那么不小心
BeachCove/Q14/EV_04/BC_Q14_EV_04_04_CVS_Sprout_03	无论如何 调查得不错 希悦
BeachCove/Q14/EV_04/BC_Q14_EV_04_05_CVS_Sprout_04	我来没收这些翅膀 作为证据
BeachCove/Q14/EV_04/BC_Q14_EV_04_06_CVS_SN_02	我想我还是留着吧 以防万一
BeachCove/Q14/EV_04/BC_Q14_EV_04_07_CVS_Sprout_05	是的好主意 嗯……继续努力！我们还很危险！
BeachCove/Q14/EV_05/BC_Q14_EV_05_01_GP_SN_03	嗯……菜头好像在隐瞒着什么
BeachCove/Q14/EV_06/BC_Q14_EV_06_01_CVS_PP_01	今天大家怎么都这么焦躁？呃……
BeachCove/Q14/EV_06/BC_Q14_EV_06_02_CVS_SN_01	菜头认为你弄糟了力力的壁画
BeachCove/Q14/EV_06/BC_Q14_EV_06_03_CVS_PP_02	什么？太荒唐了！我才不会去弄脏我的蹄子
BeachCove/Q14/EV_06/BC_Q14_EV_06_04_CVS_SN_02	我想那算是一种证明吧
BeachCove/Q14/EV_06/BC_Q14_EV_06_05_CVS_SN_03	只要别太引起注意了 好吗？
BeachCove/Q14/EV_06/BC_Q14_EV_06_06_CVS_PP_03	但那就是我喜欢做的！
BeachCove/Q14/EV_06/BC_Q14_EV_06_07_CVS_IZ_01	这里看上去好忙啊！发生什么事了？
BeachCove/Q14/EV_06/BC_Q14_EV_06_08_CVS_SN_04	好多事情！要到处走 到处修牌子
BeachCove/Q14/EV_06/BC_Q14_EV_06_09_CS_IZ_02	好的！那我们就需要很多颜料，那个牌子很大！
BeachCove/Q14/EV_07/BC_Q14_EV_07_01_CVS_PaintShop 3_01	想要颜料吗？没问题！
BeachCove/Q14/EV_07/BC_Q14_EV_07_02_CVS_PaintShop 3_02	给我个游泳圈 它就是你的了
BeachCove/Q14/EV_07/BC_Q14_EV_07_03_CVS_SN_01	游泳圈 明白！
BeachCove/Q14/EV_08/BC_Q14_EV_08_01_CVS_RedFloatieGuy_01	哦 嘿 你有没有见到我的宠物螃蟹？
BeachCove/Q14/EV_08/BC_Q14_EV_08_02_CVS_RedFloatieGuy_02	她名字叫贝贝
BeachCove/Q14/EV_08/BC_Q14_EV_08_03_CVS_SN_01	如果我找到她 我可以要你的游泳圈吗？
BeachCove/Q14/EV_08/BC_Q14_EV_08_04_CVS_RedFloatieGuy_03	当然！我拿它只是以防我需要到水里去找贝贝！
BeachCove/Q14/EV_08/BC_Q14_EV_08_05_CVS_SN_02	别担心！我会找到她
BeachCove/Q14/EV_09/BC_Q14_EV_09_01_CVS_RedFloatieGuy_01	贝贝！贝贝！你回来了！
BeachCove/Q14/EV_09/BC_Q14_EV_09_02_CVS_RedFloatieGuy_02	太谢谢你了！给你 跟我们说好的一样
BeachCove/Q14/EV_10/BC_Q14_EV_10_01_GP_SN_01	现在 回去找那位爱画牌子的小马
BeachCove/Q14/EV_11/BC_Q14_EV_11_01_GP_PaintShop 3_01	哦 真不错！给你的颜料
BeachCove/Q14/EV_12/BC_Q14_EV_12_01_GP_SN_01	所有证据凑齐了！但不可能是这样……
BeachCove/Q14/EV_13/BC_Q14_EV_13_01_GP_SN_01	好极了！现在回到牌子那里去
BeachCove/Q14/MID_01/BC_Q14_MID_01_01_CVS_Sprout_01	肯定还有别的线索，找到所有的目击者
BeachCove/Q14/MID_02/BC_Q14_MID_02_01_CVS_Sprout_01	这很明显是外来威胁
BeachCove/Q14/MID_02/BC_Q14_MID_02_02_CVS_Sprout_02	天马和独角兽很明显想要毁了这个节日！
BeachCove/Q14/MID_02/BC_Q14_MID_02_03_CVS_SN_03	那根本说不通！他们是我们的朋友！
BeachCove/Q14/MID_02/BC_Q14_MID_02_04_CVS_Sprout_04	也许只是你的朋友 希悦
BeachCove/Q14/MID_02/BC_Q14_MID_02_05_CVS_SN_01	
BeachCove/Q14/MID_03/BC_Q14_MID_03_01_CVS_PaintShop 3_01	我敢肯定 海滩上一定有小马有游泳圈
BeachCove/Q14/MID_04/BC_Q14_MID_04_01_CVS_RedFloatieGuy_01	我最后见到她是在海滩尽头的洞穴里
BeachCove/Q14/MID_05/BC_Q14_MID_05_01_GP_IZ_01	我们需要很多的橙色颜料和很多的魔法！
BeachCove/Q14/MID_06/BC_Q14_MID_06_01_GP_PP_01	冰激凌们都爱死我的小马湾照片了！
BeachCove/Q14/POST_01/BC_Q14_POST_01_01_GP_PaintShop 3_01	天马走开……有些刻薄 但这书法很好看！
BeachCove/Q14/POST_02/BC_Q14_POST_02_01_GP_RedFloatieGuy_01	我再也不会让你离开我眼睛半步了！
BeachCove/Q14/POST_03/BC_Q14_POST_03_01_GP_Sprout_01	角和翅膀……要留意这些！
BeachCove/Q14/POST_04/BC_Q14_POST_04_01_GP_PP_01	冰激凌们都爱死我的小马湾照片了！
BeachCove/Q14/POST_05/BC_Q14_POST_05_01_GP_IZ_01	菜头真的很喜欢小马湾节 在大家面前喊话太有活力了
BeachCove/Q14/PRE_01/BC_Q14_PRE_01_01_GP_PaintShop 3_01	我不反对任何小马……但我很喜欢画牌子！
BeachCove/Q14/PRE_02/BC_Q14_PRE_02_01_GP_RedFloatieGuy_01	贝贝！你在哪里！
BeachCove/Q14/PRE_03/BC_Q14_PRE_03_01_GP_PP_01	希悦！我的粉丝很喜欢你的舞步 他们都为你点赞了！
BeachCove/Q14/START/BC_Q14_START_01_CVS_Thunder_01	如果有嫌犯 我们会特别留意的
BeachCove/Q14/START/BC_Q14_START_02_CVS_Sprout_01	但是嫌犯似乎是一位独角兽和一位天马
BeachCove/Q14/START/BC_Q14_START_03_CVS_Sprout_02	怎么肯定你不会包庇同类呢？
BeachCove/Q14/START/BC_Q14_START_04_CVS_Thunder_02	是天马又没有罪
BeachCove/Q14/START/BC_Q14_START_05_CVS_Sprout_03	所有天马和独角兽都有嫌疑
BeachCove/Q14/START/BC_Q14_START_06_CVS_SN_01	怎么回事？
BeachCove/Q14/START/BC_Q14_START_07_CVS_Sprout_04	又一例破坏公物！
BeachCove/Q14/START/BC_Q14_START_08_CVS_Thunder_03	飞行学院的壁画被乱涂乱画了！
BeachCove/Q14/START/BC_Q14_START_09_CVS_SN_02	我明白了
BeachCove/Q14/START/BC_Q14_START_10_CVS_Sprout_05	是的！我们必须……
BeachCove/Q14/START/BC_Q14_START_11_CVS_SN_03	找目击者？
BeachCove/Q14/START/BC_Q14_START_12_CVS_Sprout_06	没错
BeachCove/Q14/START/BC_Q14_START_13_CVS_SN_04	好吧 我去到处问问
BeachCove/Q14/TOOFAR/BC_Q14_TOOFAR_01_GP_SN_01	还不能走 得先独角回收力力的牌子！
BeachCove/Q15/COMP/BC_Q15_COMP_01_GP_HC_01	任务完成 学员！一点礼物表示感谢
BeachCove/Q15/MID_01/BC_Q15_MID_01_01_CVS_HC_01	快帮忙赶兔子 希悦！时间快不多了！
BeachCove/Q15/POST_01/BC_Q15_POST_01_01_CVS_HC_01	在上面要当心 别掉进海里了
BeachCove/Q15/START/BC_Q15_START_01_CVS_HC_01	希悦！那堆兔子帮在海湾跑得到处都是
BeachCove/Q15/START/BC_Q15_START_02_CVS_HC_02	他们在起飞跑道上跳来跳去
BeachCove/Q15/START/BC_Q15_START_03_CVS_HC_03	把他们都赶回来好让比赛可以正常开始
BeachCove/Q15/TOOFAR/BC_Q15_TOOFAR_01_GP_HC_01	希悦 还有兔子需要赶 帮它们走出那里
BrighthouseTuto/INTRO/EV_01/BHT_INTRO_EV_01_01_CS_Narrator_01	水晶闪闪屋 小马利亚友谊与魔法的象征
BrighthouseTuto/INTRO/EV_01/BHT_INTRO_EV_01_01_CS_Narrator_01b	只要独角兽 天马 和陆马之间和谐共处 它的光芒就会一直照亮着小马湾
BrighthouseTuto/INTRO/EV_01/BHT_INTRO_EV_01_02_CS_BH_01	
BrighthouseTuto/INTRO/EV_01/BHT_INTRO_EV_01_03_CS_Narrator_02	但有一位小马会随时帮助大家渡过难关
BrighthouseTuto/Q1/COMP/BHT_Q1_COMP_01_CGP_SN_01	这才对嘛 整装待发去参加节日！
BrighthouseTuto/Q1/EV_02/BHT_Q1_EV_02_01_CS_Bunny_01	
BrighthouseTuto/Q1/EV_03/BHT_Q1_EV_03_02_GP_SN_01	我的包！被那只兔子抢走了！
BrighthouseTuto/Q1/EV_04/BHT_Q1_EV_04_01_CGP_SN_01	真机灵！也许我能用陆马魔法变那朵花
BrighthouseTuto/Q1/EV_05/BHT_Q1_EV_05_01_CGP_SN_01	啊哈！只要到那里就行了
BrighthouseTuto/Q1/TOOFAR/BHT_Q1_TOOFAR_01_CGP_SN_01	我的包！现在还不能走……得先把它找回来
BrighthouseTuto/START/EV_01/BHT_START_EV_01_01_CS_SN_01	我醒了！我醒了！
BrighthouseTuto/START/EV_01/BHT_START_EV_01_02_CS_SN_02	等等 大家都去哪了？
BrighthouseTuto/START/EV_01/BHT_START_EV_01_03_CS_SN_03	呀！在小马街上准备小马湾节！英奇在等着我！
BrighthouseTuto/START/EV_01/BHT_START_EV_01_04_CS_SN_04	但是有点不对劲
BrighthouseTuto/START/START/BHT_START_START_08_CS_SN_05	我的包！这次又把它放哪了？
MiniGames/DESCRIPTION_DASH	锻炼你翱翔天空的技巧
MiniGames/DESCRIPTION_FASHION_SHOW	展示你的舞步！
MiniGames/DESCRIPTION_HERDING_BUNNIES	帮英奇赶兔子
MiniGames/DESCRIPTION_HERDING_CRABS	帮英奇赶螃蟹和兔子
MiniGames/DESCRIPTION_RUNNER	跟朋友们一起追上菜头
MiniGames/MULTIPLAYER_CONTROLS	多人游戏需要连接2个控制器至 Nintendo Switch
MiniGames/MULTIPLAYER_CONTROLS_INDICATION	按“接受”继续
MiniGames/MULTIPLAYER_CONTROLS_INDICATION[PS4	按“接受”继续
MiniGames/NEXT_ROUND	下一回合
MiniGames/PROGRESSION_EVALUATION_0	很好
MiniGames/PROGRESSION_EVALUATION_1	非常棒
MiniGames/PROGRESSION_EVALUATION_2	完美
MiniGames/PROGRESSION_EVALUATION_EXTRA	完美
MiniGames/PROGRESSION_EVALUATION_FAIL	失败
MiniGames/PROGRESSION_EVALUATION_GO	很好
MiniGames/PROGRESSION_EVALUATION_GREAT	非常棒
MiniGames/TIMES_UP	时间到！
MiniGames/TITLE_DASH	力力的飞行学院
MiniGames/TITLE_FASHION_SHOW	琪琪舞步游行
MiniGames/TITLE_HERDING_BUNNIES	英奇的赶兔子训练
MiniGames/TITLE_HERDING_CRABS	兔子螃蟹一起来
MiniGames/TITLE_RUNNER	菜头轮滑追逐赛
Brighthouse/BFLY/EV_01/BH_BFLY_EV_01_01_CVS_SN_01	???????????
Brighthouse/BFLY/EV_01/BH_BFLY_EV_01_02_CVS_SN_02	这里是怎么回事？
Brighthouse/BFLY/EV_02/BH_BFLY_EV_02_04_CVS_Shimmerwing_01	
Brighthouse/BFLY/EV_02/BH_BFLY_EV_02_05_CVS_SN_04	烁蝶 是你！哇 你力气可真大
Brighthouse/BFLY/EV_02/BH_BFLY_EV_02_06_CVS_SN_05	你是怎么困在里面的？
Brighthouse/BFLY/EV_02/BH_BFLY_EV_02_07_CVS_Shimmerwing_02	
Brighthouse/BFLY/EV_02/BH_BFLY_EV_02_08_CVS_SN_06	抱歉！我听不懂蝴蝶语……
Brighthouse/BFLY/EV_02/BH_BFLY_EV_02_09_CVS_Shimmerwing_03	
Brighthouse/BFLY/EV_03/BH_BFLY_EV_03_10_CGP_SN_07	她想要我跟着她 得走了！
Brighthouse/INTRO/EV_01/BH_INTRO_EV_01_01_CS_SN_01	啊 水晶闪闪屋 还是难以相信我们能住在这么魔幻的地方
Brighthouse/MH/ACCEPTED/BH_MH_ACCEPTED_01_CGP_HC_01	好的！兔子时间！
Brighthouse/MH/COMP/BH_MH_COMP_01_CS_HC_01	哇！不错 希悦 非常不错
Brighthouse/MH/COMP/BH_MH_COMP_02_CS_HC_02	看来今年的比赛有看头了
Brighthouse/MH/COMP/BH_MH_COMP_03_CS_IZ_01	好极了！小马街 我们来了！
Brighthouse/MH/COMP/BH_MH_COMP_04_CS_HC_03	是的！嗯 等我只要先把这些盒子挪开
Brighthouse/MH/COMP/BH_MH_COMP_05_CS_HC_04	
Brighthouse/MH/COMP/BH_MH_COMP_06_CS_SN_01	我们要帮他吗？
Brighthouse/MH/COMP/BH_MH_COMP_07_CS_HC_05	不用！这些是我放的 我肯定会负责把它们归回原位…噢！
Brighthouse/MH/COMP/BH_MH_COMP_08_CS_IZ_02	我觉得他没事 一切都在掌控之中
Brighthouse/MH/DECLINED/BH_MH_DECLINED_01_CVS_HC_01	退缩了吗？准备好就再回来吧
Brighthouse/MH/QUESTION/BH_MH_QUESTION_01_CVS_HC_01	准备好赶兔子了吗？
Brighthouse/MH/REPACPTD/BH_MH_REPACPTD_01_CGP_SN_01	算我一个！
Brighthouse/MH/REPDCLND/BH_MH_REPDCLND_01_CGP_SN_01	嗯……现在不行 等一会吧？
Brighthouse/MH/REPEAT/BH_MH_REPEAT_01_CVS_HC_01	回来了？准备好赶兔子了吗？
Brighthouse/MH/START/BH_MH_START_01_CVS_HC_01	欢迎来到赶兔子大赛官方训练营！
Brighthouse/MH/START/BH_MH_START_02_CVS_HC_02	规则很简单：将兔子赶到大门外面
Brighthouse/MH/START/BH_MH_START_03_CVS_HC_03	赶出的兔子越多 你的得分就越高！
Brighthouse/MH/START/BH_MH_START_04_CVS_HC_04	要留意：大门会改变位置！
Brighthouse/OUTRO/EV_01/BH_OUTRO_EV_01_01_CS_SN_01	小马湾节……我们来了！
Brighthouse/OUTRO/EV_01/BH_OUTRO_EV_01_02_CS_IZ_01	我们来了！
Brighthouse/OUTRO/EV_01/BH_OUTRO_EV_01_03_CS_HC_01	我们来了！
Brighthouse/OUTRO/EV_01/BH_OUTRO_EV_01_04_CS_BH_01	
Brighthouse/Q1/COMP/BH_Q1_COMP_01_CVS_IZ_01	谢谢你 希悦！你救了这座桥！
Brighthouse/Q1/COMP/BH_Q1_COMP_02_CVS_IZ_02	现在 你只要这样的桌子 就能独角回收
Brighthouse/Q1/COMP/BH_Q1_COMP_03_CVS_SN_01	谢谢指点！我还在试着习惯用这些魔法……
Brighthouse/Q1/EV_01/BH_Q1_EV_01_01_GP_SN_01	很好！还差两个！
Brighthouse/Q1/EV_02/BH_Q1_EV_02_01_GP_SN_01	完美！再剩一个……
Brighthouse/Q1/EV_03/BH_Q1_EV_03_01_GP_SN_01	全都齐了！现在把它们带回去给小艺
Brighthouse/Q1/MID_01/BH_Q1_MID_01_01_GP_IZ_01	只要有足够的闪粉 什么东西都能独角回收！
Brighthouse/Q1/POST_01/BH_Q1_POST_01_01_CVS_IZ_01	以前没有魔法 什么事都很难
Brighthouse/Q1/POST_01/BH_Q1_POST_01_02_CVS_IZ_02	现在 只要有足够的胶水和闪粉 一些都有可能！
Brighthouse/Q1/POST_01/BH_Q1_POST_01_03_CVS_IZ_03	或者我应该说……独角事！
Brighthouse/Q1/START/BH_Q1_START_01_CVS_IZ_01	还在这里？最好快点，小马湾在等着我们！
Brighthouse/Q1/START/BH_Q1_START_02_CVS_SN_01	我知道！是这个方向对吗？
Brighthouse/Q1/START/BH_Q1_START_03_CVS_IZ_02	是的 但是桥断了！
Brighthouse/Q1/START/BH_Q1_START_04_CVS_IZ_03	我们可以用独角魔法来回收它 独角回收魔法！ 
Brighthouse/Q1/START/BH_Q1_START_05_CVS_IZ_04	但是我忘了我的工具在哪放着
Brighthouse/Q1/START/BH_Q1_START_06_CVS_IZ_05	应该就在附近 能帮我找到它们吗？
Brighthouse/Q1/START/BH_Q1_START_07_CVS_SN_02	马上就去！
Brighthouse/Q1/TOOFAR/BH_Q1_TOOFAR_01_GP_IZ_01	我真的很想去小马湾节！别花太长时间
Brighthouse/Q2/COMP/BH_Q2_COMP_01_CGP_HC_01	你有潜力成为赶兔子比赛的实力选手 你们说对吧？
Brighthouse/Q2/COMP/BH_Q2_COMP_02_CGP_Bunnies_01	
Brighthouse/Q2/EV_01/BH_Q2_EV_01_01_GP_SN_01	我得去找英奇 已经让他等了一会了 他可是很守时的
Brighthouse/Q2/EV_02/BH_Q2_EV_02_01_CVS_HC_01	很好 希悦 你赶兔子的技巧的确不错
Brighthouse/Q2/EV_02/BH_Q2_EV_02_02_CVS_HC_02	但你得先喂饱它们！
Brighthouse/Q2/EV_02/BH_Q2_EV_02_03_CVS_HC_03	赶在他们烦躁之前 去找一些萝卜回来
Brighthouse/Q2/EV_03/BH_Q2_EV_03_01_GP_SN_01	很好！还差两个！
Brighthouse/Q2/EV_04/BH_Q2_EV_04_01_GP_SN_01	完美！再剩一个……
Brighthouse/Q2/EV_05/BH_Q2_EV_05_01_GP_SN_01	三个都齐了！现在回去
Brighthouse/Q2/MID_01/BH_Q2_MID_01_01_GP_HC_01	兔子会朝远离你的方向跳，把它们赶到我这里来
Brighthouse/Q2/MID_02/BH_Q2_MID_02_01_GP_HC_01	那边小山上有个花园，里面应该有些萝卜
Brighthouse/Q2/START/BH_Q2_START_01_CVS_HC_01	原来你在这！我正在找你呢
Brighthouse/Q2/START/BH_Q2_START_02_CVS_HC_02	就剩你一个了
Brighthouse/Q2/START/BH_Q2_START_03_CVS_SN_02	剩我一个 干什么？
Brighthouse/Q2/START/BH_Q2_START_04_CVS_HC_03	锻炼放牧的技巧
Brighthouse/Q2/START/BH_Q2_START_05_CVS_HC_04	最新的小马湾传统
Brighthouse/Q2/START/BH_Q2_START_06_CVS_HC_05	赶兔子大赛
Brighthouse/Q2/START/BH_Q2_START_07_CVS_SN_03	真的要这么做吗？这样兔子太可怜了吧……
Brighthouse/Q2/START/BH_Q2_START_08_CVS_HC_06	兔子们都很喜欢，它们都告诉我了！
Brighthouse/Q2/START/BH_Q2_START_09_CVS_Bunnies_01	
Brighthouse/Q2/START/BH_Q2_START_10_CVS_HC_07	看见了吧？
Brighthouse/Q2/START/BH_Q2_START_11_CVS_SN_04	那好吧 我该怎么做？
Brighthouse/Q2/START/BH_Q2_START_12_CVS_HC_08	嗯……有些兔子总是喜欢朝小马街那边跑
Brighthouse/Q2/START/BH_Q2_START_14_CVS_HC_10	还剩下3只兔子没有找到，它们应该不远
Brighthouse/Q2/START/BH_Q2_START_15_CVS_HC_11	帮我把它们找回来 好吗？
Brighthouse/Q2/START/BH_Q2_START_16_CVS_HC_12	它们会朝远离你的方向跳，把它们赶到我这里来
Brighthouse/Q2/START/BH_Q2_START_17_CVS_SN_05	没问题！马上开始！
Brighthouse/Q2/TOOFAR/BH_Q2_TOOFAR_01_GP_HC_01	兔子还没赶完呢 希悦
Brighthouse/Q3/START/BH_Q3_START_13_CVS_HC_09	所以我用盒子把大门挡住了
Mainstreet/End/EV_05/MS_End_EV_05_01_CS_Sprout_01	你……你……
Mainstreet/End/EV_05/MS_End_EV_05_02_CS_SN_01	嘿 没事的 我们又不会打你
Mainstreet/End/EV_05/MS_End_EV_05_03_CS_Sprout_02	你……不会吗？
Mainstreet/End/EV_05/MS_End_EV_05_04_CS_SN_02	不会的 我们只是想让一切恢复正常
Mainstreet/End/EV_05/MS_End_EV_05_05_CS_Sprout_03	但那是我想要的！
Mainstreet/End/EV_05/MS_End_EV_05_06_CS_Sprout_04	最近几个月我总感觉适应不了 那些魔法和陌生小马 我……我只是
Mainstreet/End/EV_05/MS_End_EV_05_07_CS_HC_01	菜头……新事物很难适应 我通常也不太喜欢容易失控的东西
Mainstreet/End/EV_05/MS_End_EV_05_08_CS_ZP_01	但有时候，改变是一件好事。只要我们敞开心扉去接纳它，它就能激发出我们最好的一面。
Mainstreet/End/EV_05/MS_End_EV_05_09_CS_SN_03	力力 你的翅膀！
Mainstreet/End/EV_05/MS_End_EV_05_09_CS_ZP_01B	
Mainstreet/End/EV_05/MS_End_EV_05_10_CS_IZ_01	噢！魔法回来了！
Mainstreet/End/EV_05/MS_End_EV_05_11_CS_BH_01	
Mainstreet/End/EV_05/MS_End_EV_05_12_CS_PP_01	有时改变很棒 就好比化妆
Mainstreet/End/EV_05/MS_End_EV_05_13_CS_IZ_02	或者闪粉！
Mainstreet/End/EV_05/MS_End_EV_05_14_CS_SN_04	或者交新朋友
Mainstreet/End/EV_05/MS_End_EV_05_15_CS_Sprout_05	也许我只是反应过度了……所以你们不生我的气？
Mainstreet/End/EV_05/MS_End_EV_05_16_CS_HC_02	伙计……只要小马湾恢复平静
Mainstreet/End/EV_05/MS_End_EV_05_17_CS_SN_05	我们就都是朋友
Mainstreet/End/EV_05/MS_End_EV_05_18_CS_IZ_03	而且友谊仍然是魔法！
Mainstreet/End/EV_05/MS_End_EV_05_19_CS_PP_02	嘿 菜头 我有一个主意可以让你高兴起来！
Mainstreet/End/EV_05/MS_End_EV_05_20_CS_ZP_02	不 不不不不
Mainstreet/End/EV_05/MS_End_EV_05_21_CS_PP_03	舞步跳起来！
